Marca,Modelo,Motor,Referencia_OEM,Potencia_kW_CV,Año_Rango,Filtro_Aire,Filtro_Aceite,Filtro_Combustible,Cod_Filtro_Habitaculo,Tipo_Filtro_Habitaculo
FORD,GENERAL,1.6 TI-VCT (Durcatec),ZH16FCDB,,11/12 ©,C 17 006 / C 17 006,,W 7008 / W 7008,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.6 Ti-VCT,"HXJA, HXJB",88 (120),10/08-12/12,C 17 006,,W 7008,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.6 Ti-VCT,,,,,,,CU 2433 / CUK 2433 / FP 2433,Partículas / Carbón Activo / Biofuncional
FORD,Zetec,1.6 Ti-VCT Sport S,U5JA,99 (134),12/10 ©,C 17 006,,W 7008,,
FORD,Zetec,1.6 ST EcoBoost,"JTJA, JTJB",134 (182),03/13 ©,C 17 006,,W 7008,,
FORD,Zetec,1.6 ST200 EcoBoost,JTJC,147 (200),04/16-04/17,C 17 006,,W 7008,,
FORD,Zetec,1.6 TDCi,"HHJF, UBJA",,06/08-12/12,C 17 006,HU 716/2 x,WK 9046 / WK 939/13 / WK 939/2 z,,
FORD,Zetec,1.6 TDCi,"HHJC, HHJD, HHJE",,06/08-12/12,C 17 006,HU 716/2 x,WK 939/2 z / WK 939/13,,
FORD,Zetec,1.6 TDCi,"T3JA, TZJA, TZJB",,02/10 ©,C 17 006,HU 716/2 x,WK 9046,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,Zetec,1.0 EcoBoost,C10FD0X,,05/17 ©,C 22 031 / C 26 040,,W 7015,,
FORD,Zetec,1.0 EcoBoost,M0JA,,12/19 ©,C 26 040,,W 7057,,
FORD,Zetec,1.0 EcoBoost,C10FD0X,74 (101),05/17 ©,C 22 031 / C 26 040,,W 7015,,
FORD,Zetec,1.0 EcoBoost,C10FD0X,92 (125),05/17 ©,C 22 031 / C 26 040,,W 7015,,
FORD,Zetec,1.0 EcoBoost,C10FD0X,103 (140),05/17 ©,C 22 031 / C 26 040,,W 7015,,
FORD,Zetec,1.0 EcoBoost mHEV,"B7JA, B7JB, B7JC",92 (125),07/20 ©,C 26 040,,W 7057,,
FORD,GENERAL,1.0 EcoBoost mHEV,BZJA,114 (155),07/20 ©,C 26 040 / C 22 031 / C 22 031 / C 22 031,,W 7057 / W 7015 / W 7015 / W 7015,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.1 LPG,,,10/19 ©,C 22 031,,W 7015,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCI,,,05/17 ©,C15DSOX (DV5FD) / C 22 031,HU 716/2 x,PU 7011 z,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCI,,88 (120),05/17 ©,C15DSOX (DV5FD A) / C 22 031,HU 716/2 x,PU 7011 z,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 ST,YZJA,147 (200),04/18 ©,C 22 031,,W 7057,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,Zetec,2.0 ST170,,125 (170),09/01-12/04,C 2774/3 KIT,,W 719/27 / WK 614/46,,
FORD,GENERAL,2.2 TDCi (TKE),"GBVAJQJ, T22DD0P",118 (160),05/15 ©,C 22 024 / C 22 024,HU 7002 z,W 7015,CU 24 006,Partículas
FORD,GENERAL,3.2 TDCi (TKE),"SAFA, SA2R, SA2S, SA2W, ENSA",147 (200),11/11 ©,C 22 024,HU 7002 z,,CU 28 009 / CUK 28 009 / FP 28 009,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue (TRB),P02X,125 (170),11/22 ©,,HU 7002 z,WK 11 027,CU 24 006,Partículas
FORD,GENERAL,2.0 EcoBlue (TRB),YN2X,151 (205),11/22 ©,,HU 7002 z,WK 11 027,CU 24 006,Partículas
FORD,GENERAL,3.0 EcoBlue (TRB),BF2X,177 (240),11/22 ©,,HU 826 x,WK 11 027,CU 2559 / CUK 2559 / FP 2559,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.6 EcoBoost SCTI,JTWA,118 (160),11/10-12/14,C 30 161,,W 7008,CU 24 006,Partículas
FORD,GENERAL,1.6 TDCi,"T1WA, T1WB",85 (115),02/11-12/14,C 30 161,HU 716/2 x,WK 9046,CU 24 006,Partículas
FORD,GENERAL,1.8 TDCi,QYWA,92 (125),05/06-12/14,C 30 161,,W 712/82 / PU 7002 x,CU 24 006,Partículas
FORD,GENERAL,1.8 TDCi,FFWA,74 (100),01/07-12/10,C 30 161 / C 30 161,,W 712/82 / PU 7002 x / W 7015,CU 24 006,Partículas
FORD,GENERAL,2.0 EcoBoost SCTi,TPWA,176 (240),07/10-12/14,C 30 161,,W 7015,CU 24 006,Partículas
FORD,GENERAL,2.0 EcoBoost SCTi,TNWA,149 (203),03/10-12/14,C 30 161,,W 7015,CU 24 006,Partículas
FORD,GENERAL,2.0 TDCi,TXWA,120 (163),03/10-12/14,C 30 161,HU 711/51 x,PU 927 x,CU 24 006,Partículas
FORD,GENERAL,2.0 TDCi,"KLWA, TYWA",85 (115),05/06-12/14,C 30 161,HU 711/51 x,PU 1018 x / PU 927 x,CU 24 006,Partículas
FORD,GENERAL,2.0 TDCi,,,,,,,CU 24 006,Partículas
FORD,GENERAL,2.0 EcoBlue mHEV,"BCFC, BCFD",136 (185),05/19 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BKFA, BKFB, YMF6, YMFA, YMFB, YMFS",95 (130),12/15 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BJFA, BJFB, YLF6, YLFA, YLFB, YLFS",77 (105),12/15 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BCFA, BCFB",136 (185),05/19 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"CYF4, CYFF",92 (125),04/12-12/15,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,,103 (140),09/12 ©,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,CVFF,114 (155),04/12-12/15,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"DRF4, DRFF, DRFG",74 (100),09/12-12/15,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 2436 / CUK 2436 / FP 2436,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.0 EcoBoost,,74 (101),04/14 ©,C 17 006 / C 22 031,,W 7015,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCi,15DSOX,,04/14 ©,C 17 006 / C 22 031,HU 716/2 x,WK 9046 / PU 7010 z,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCi,C15DSOX,,05/15 ©,C 17 006 / C 22 031,HU 716/2 x,PU 7011 z / PU 7010 z,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.5 TDCi,"XXCA, XXCB, XXCC",74 (100),04/18 ©,C 22 031,HU 716/2 x,WK 9046,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.6 TDCi,"T3CA, T3CB, T3CC",,02/14 ©,C 17 006,HU 716/2 x,WK 9046,CU 3649,Partículas
FORD,GENERAL,2.0 DI Turbodiesel,D3FA,,08/00-07/06,C 28 100,HU 920 x,WK 8105 / WK 8157,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 DI Turbodiesel TDE,ABFA,74 (100),08/00-07/06,C 28 100,HU 920 x,WK 8105 / WK 8157,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 DI Turbodiesel TDE,F3FA,,08/00-05/06,C 28 100,HU 920 x,WK 8105 / WK 8157,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 DI Turbodiesel TDE / TDCi,FIFA,92 (125),07/02-07/06,C 28 100 / C 28 100,HU 920 x,WK 8105 / WK 8154 / W 719/27,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.3 BiFuel,E5FC,105 (143),03/01-03/06,C 28 100,,W 719/27,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.4 DI Turbodiesel,,,,,,,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"P8FA, P8FB",,04/06-08/14,C 27 161,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic","DRFA,DRFB,DRFC,DRFD,DRFE",74 (100),09/11-08/14,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic RWD","DRRA, DRRB, DRRC",74 (100),09/11-08/14,C 28 100,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,QVFA,81 (110),07/06-08/14,C 27 161,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic","SRFA,SRFB,SRFC,SRFD,SRFE",85 (115),10/08-08/14,C 27 161,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic","CYFA, CYFB, CYFC, CYFD",92 (125),09/11-12/14,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic RWD",CYRA,92 (125),09/11-12/14,C 28 100,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,"2.2 TDCi, TDCi ECOnetic 4x4","CYRB, CYRC",92 (125),10/11-08/14,C 28 100,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,QWFA,96 (130),07/06-08/14,C 27 161,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,,100 (135),09/11-03/16,C 28 100,HU 711/51 x,PU 12 003/1 z / W 7050,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"PGFA,PGFB,UHFA,UHFB,UHFC",103 (140),10/07-08/14,C 27 161 / C 35 009,HU 711/51 x,W 7050 / WK 8105 / WK 8158 / PU 12 003/1 z,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"CVRA, CVRB, CVRC",114 (155),09/11-08/14,C 28 100 / C 28 100 / C 28 100,HU 711/51 x,PU 12 003/1 z / W 7050 / W 7015 / WK 730/5 / W 7015,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.4 TDCi,"PHFA, PHFC",74 (100),04/06-08/14,C 28 100,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.4 TDCi,"JXFA, JXFC",85 (115),04/06-08/14,C 28 100,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.4 TDCi,H9FB,103 (140),07/06-08/14,C 28 100,HU 711/51 x,W 7050 / WK 8105 / WK 8158,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,3.2 TDCi,,147 (200),10/07-11/11,,HU 711/51 x,WK 8158,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,1.0 EcoBoost PHEV,M1FA,92 (125),04/20 ©,C 22 031,,W 7015,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue,,118 (160),01/21 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue,N0HA,114 (155),05/22 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,P0FB,110 (150),10/21 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,"BKFC, BKFD",96 (130),05/19 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,"BLFC, BLFD",125 (170),05/19 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV 4x4,BLRB,125 (170),05/19 ©,C 28 050 / C 9007,,W 7038,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV 4x4,,96 (130),05/19 ©,C 28 050 / C 9007,,W 7038,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue RWD,BLHA,121 (165),05/22 ©,C 28 050 / C 9007,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,P0FA,110 (150),10/21 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BCRA, BCRB",136 (185),05/19 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,BLHA,125 (170),03/16 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BJFA, BJFB, YLF6, YLFA, YLFB, YLFS",77 (105),03/16 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BKFA, BKFB",95 (130),03/16 ©,C 34 005/1,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue 4x4,,77 (105),03/16 ©,C 28 050 / C 9007,,W 7038,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue 4x4,,125 (170),03/16 ©,C 28 050 / C 9007,,W 7038,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue 4x4,,136 (185),05/19 ©,C 28 050 / C 9007,,W 7038,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue RWD,"BKHA, YMHA",96 (130),03/16 ©,C 28 050 / C 9007,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue RWD,BLHA,125 (170),03/16 ©,C 28 050 / C 9007,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue RWD,"BJRA, YLR6, YLRA",77 (105),03/16 ©,C 28 050 / C 9007,,W 7034,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"DRF5, DRFF, DRFG",74 (100),08/13-12/18,C 35 009,,W 7050 / PU 12 003/1 z,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,,,,,,,CU 22 013 / CUK 22 013 / FP 22 013,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi RWD,,,,,,,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,"BLFC, BLFD",125 (170),05/19 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,"BCFC, BCFD",136 (185),05/19 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 EcoBlue mHEV,P0FB,110 (150),01/22 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"YMF6, YMFA, YMFB, YMFS",96 (130),12/15 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BJFA, BJFB, YLF6, YLFA, YLFB, YLFS",77 (105),12/15 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue,"BCFA, BCFB",136 (185),05/19 ©,C 34 005/1,,W 7034,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.0 TDCi EcoBlue 4x4,"BKRA, YMR6, YMRA",96 (130),01/17 ©,C 28 050 / C 9007,,W 7038,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"DRF4, DRFF, DRFG",74 (100),04/12-12/15,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,"CYF4, CYFF",92 (125),04/12-12/15,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
FORD,GENERAL,2.2 TDCi,,103 (140),09/12 ©,C 35 009,HU 711/51 x,PU 12 003/1 z / W 7050,CU 29 007 / CUK 29 007 / FP 29 007,Partículas / Carbón Activo / Biofuncional
